车型信息,动力,车种,6月车型销量,车型,垫类总额月销量,垫类总额月销售额,后备箱垫+椅背垫月销量,后备箱垫+椅背垫月销售额,后备箱垫+脚垫月销量,后备箱垫+脚垫月销售额,后备箱垫+椅背垫+脚垫月销量,后备箱垫+椅背垫+脚垫月销售额,后备箱垫单品月销量,后备箱垫单品月销售额,脚垫单品月销量,脚垫单品月销售额,椅背垫单品月销量,椅背垫单品月销售额
福特 Explorer,ICE,SUV-D,12824, Explorer,3458,345020,1366,93908,141,21769,52,9938,470,41921,1422,176680,0,0
本田 Civic,ICE,Car-C,15979, Civic,3284,321653,1,59,342,48964,31,6329,249,14029,2640,248149,0,0
本田 Honda Pilot,ICE,SUV-D,10691, Pilot,2592,313690,917,71517,100,26420,0,0,32,4716,1531,210342,0,0
马自达 CX-5,ICE,SUV-C,12861, CX-5,2796,284867,311,26914,672,97962,26,5459,597,37586,1177,114361,0,0
丰田 Tacoma,ICE,Pickup Truck,20153, Tacoma,2507,283676,0,0,0,0,0,0,220,21740,2135,234326,0,0
雪佛兰 Tahoe,ICE,SUV-E,9955, Tahoe,2067,283219,158,20537,117,16418,0,0,520,63139,1253,181350,0,0
丰田 RAV4,ICE,SUV-D,38482, RAV4,2921,280315,359,32157,539,66419,0,0,694,32810,1293,142405,15,2348
丰田 Camry,ICE,Car-D,27078, Camry,2887,279036,0,0,284,46328,0,0,448,20809,2153,211502,0,0
本田 Accord,ICE,Car-D,17735, Accord,2751,271708,0,0,263,44055,0,0,248,15925,2239,211530,0,0
起亚 Telluride,ICE,SUV-D,9534, Telluride,1490,240004,0,0,436,87030,0,0,234,21233,703,99205,0,0
雪佛兰 Equinox,ICE,SUV-C,14604, Equinox,1896,220530,387,42370,431,69312,8,1839,444,30407,626,76602,0,0
福特 Ford F-150,ICE,Pickup Truck,未知销量, F-250,1689,220335,0,0,0,0,0,0,0,0,1577,205572,0,0
现代 Palisade,ICE,SUV-D,5873, Palisade,1949,214425,1060,84398,155,24101,0,0,105,13320,604,85619,0,0
日产 Rogue,ICE,SUV-C,27096, Rogue,1961,213638,313,31431,139,25224,164,33782,212,13866,956,106270,0,0
丰田 Corolla,ICE,Car-C,18163, Corolla,2237,212614,23,1609,583,63988,0,0,278,8992,1353,138025,0,0
